name,power,accuracy,type,damage_class,description,pokemon_names
fake-out,40,100,normal,physical,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user's first turn after entering the field.,"aipom,ambipom,blastoise,buneary,chimchar,croagunk,delcatty,delibird,dewgong,espurr,glameow,gothita,hariyama,hitmonchan,hitmonlee,hitmontop,infernape,kangaskhan,kecleon,liepard,lombre,ludicolo,makuhita,meditite,mew,mienfoo,mienshao,monferno,nuzleaf,persian,pichu,purrloin,purugly,raichu,scrafty,scraggy,seel,shiftry,smoochum,sneasel,spinda,squirtle,tyrogue,wartortle"
hail,,,ice,status,"Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.

If the user is holding icy rock, this effect lasts for eight turns.

blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.

moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP.

Pokémon with snow cloak are exempt from this effect's damage.","abomasnow,absol,alomomola,amaura,articuno,aurorus,avalugg,azumarill,azurill,barboach,bergmite,blastoise,blissey,buizel,carbink,carvanha,castform,chansey,chinchou,clamperl,cloyster,corphish,corsola,crawdaunt,croconaw,cryogonal,cubchoo,delibird,dewgong,dewott,diancie,dragalge,dragonair,dragonite,dratini,ducklett,empoleon,feebas,feraligatr,finneon,floatzel,frillish,gastrodon,glaceon,glalie,goldeen,golduck,goodra,gorebyss,gyarados,happiny,horsea,huntail,jellicent,jynx,kabuto,kabutops,kangaskhan,kingdra,kingler,krabby,kyogre,kyurem,lanturn,lapras,lombre,lotad,ludicolo,lugia,lumineon,lunatone,luvdisc,mamoswine,mantine,mantyke,marill,marshtomp,mew,mewtwo,milotic,mudkip,omanyte,omastar,oshawott,palpitoad,panpour,pelipper,piloswine,piplup,politoed,poliwag,poliwhirl,poliwrath,prinplup,quagsire,qwilfish,regice,samurott,seadra,seaking,sealeo,seel,sharpedo,shellder,shellos,simipour,skrelp,slowbro,slowking,slowpoke,smoochum,sneasel,snorunt,snover,spheal,squirtle,starmie,staryu,suicune,swampert,swanna,swinub,tentacool,tentacruel,totodile,tympole,vanillish,vanillite,vanilluxe,vaporeon,wailmer,wailord,wartortle,weavile,whiscash,wingull,wooper,xerneas,zapdos"
follow-me,,,normal,status,"Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user's ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome.","clefable,clefairy,electabuzz,electivire,elekid,furret,magmar,magmortar,pachirisu,pichu,riolu,sentret,squirtle,togekiss,togepi,togetic"
yawn,,,normal,status,"Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use.","accelgor,audino,bibarel,bidoof,blastoise,camerupt,chimecho,chingling,cubchoo,darumaka,dunsparce,eevee,emboar,empoleon,espurr,flareon,golduck,gulpin,hippopotas,hippowdon,jolteon,kingdra,lillipup,litleo,magcargo,marshtomp,mightyena,mudkip,munna,musharna,pansear,pignite,piplup,poochyena,prinplup,purrloin,quagsire,shellos,shelmet,slaking,slakoth,slowbro,slowking,slowpoke,slugma,snorlax,spheal,squirtle,stunfisk,swalot,swampert,swirlix,teddiursa,tepig,togekiss,togepi,togetic,torkoal,uxie,vaporeon,vigoroth,wartortle,wooper"
refresh,,,normal,status,"Removes a burn, paralysis, or poison from the user.","alomomola,altaria,audino,azurill,blissey,chansey,chikorita,clamperl,corsola,eevee,furfrou,happiny,jirachi,lapras,latias,latios,lickilicky,lickitung,marill,milotic,mudkip,poliwag,spritzee,squirtle,swablu,taillow,tympole"
dive,80,100,water,physical,"Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.","alomomola,azumarill,barbaracle,barboach,bibarel,blastoise,buizel,carracosta,carvanha,chinchou,clamperl,clauncher,clawitzer,cloyster,crawdaunt,croconaw,dewgong,dewott,dragalge,dragonite,ducklett,empoleon,feebas,feraligatr,finneon,floatzel,frillish,froakie,frogadier,gastrodon,goldeen,golduck,gorebyss,greninja,gyarados,horsea,huntail,jellicent,kabutops,kingdra,kingler,krabby,kyogre,lanturn,lapras,latias,latios,lombre,ludicolo,lugia,lumineon,luvdisc,mantine,mantyke,marill,marshtomp,mew,mewtwo,milotic,mudkip,octillery,omanyte,omastar,oshawott,panpour,piplup,politoed,poliwag,poliwhirl,poliwrath,prinplup,quagsire,qwilfish,rayquaza,remoraid,samurott,seadra,seaking,sealeo,seel,sharpedo,shellder,shellos,simipour,skrelp,slowbro,slowking,slowpoke,spheal,squirtle,starmie,staryu,suicune,swampert,swanna,tentacool,tentacruel,tirtouga,totodile,vaporeon,wailmer,wailord,wartortle,whiscash,wooper"
mud-sport,,,ground,status,"electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.","anorith,armaldo,barboach,bidoof,buneary,clamperl,corphish,drilbur,ducklett,excadrill,feebas,froakie,gastrodon,geodude,goldeen,golem,graveler,hawlucha,kingler,krabby,linoone,luvdisc,mamoswine,mantine,mantyke,marshtomp,mudkip,panpour,piloswine,piplup,quagsire,shellos,slowpoke,squirtle,stantler,steelix,stunfisk,swampert,swinub,totodile,treecko,trubbish,tympole,whiscash,wooper,zigzagoon"
water-spout,150,100,water,special,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.","blastoise,frillish,jellicent,kyogre,remoraid,squirtle,wailmer,wailord,wartortle"
muddy-water,90,85,water,special,Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.,"azumarill,azurill,barbaracle,barboach,blastoise,carracosta,chinchou,clamperl,clauncher,clawitzer,corphish,crawdaunt,croconaw,dewgong,dragalge,feebas,feraligatr,floatzel,gastrodon,goldeen,golduck,goodra,goomy,gyarados,hippopotas,hippowdon,horsea,jellicent,kingdra,kyogre,lanturn,lapras,larvitar,lickilicky,lickitung,lombre,lotad,ludicolo,marill,marshtomp,mew,milotic,mudkip,omanyte,omastar,palpitoad,pelipper,politoed,poliwag,poliwhirl,poliwrath,pupitar,quagsire,seadra,seaking,seel,shellos,skrelp,sliggoo,slowbro,slowking,squirtle,stunfisk,swampert,tentacool,tentacruel,tirtouga,totodile,tympole,tyranitar,vaporeon,wartortle,whiscash,wingull,wooper"
iron-defense,,,steel,status,Raises the user's Defense by two stages.,"aggron,amaura,anorith,archen,archeops,armaldo,aron,aurorus,avalugg,bagon,barbaracle,bastiodon,beautifly,beldum,bergmite,binacle,bisharp,blastoise,boldore,bonsly,bronzong,bronzor,butterfree,carbink,carracosta,cascoon,chesnaught,chespin,clamperl,claydol,cloyster,cobalion,cofagrigus,corphish,corsola,crawdaunt,crustle,cryogonal,cubone,diancie,donphan,doublade,drapion,drilbur,duosion,durant,dustox,dwebble,empoleon,escavalier,excadrill,ferroseed,forretress,genesect,geodude,gigalith,golem,golett,golurk,gorebyss,graveler,heracross,honedge,huntail,jirachi,kabuto,kabutops,kakuna,karrablast,kingler,klang,klefki,klink,klinklang,krabby,lairon,larvitar,leavanny,lucario,magcargo,magnemite,magneton,magnezone,mandibuzz,marowak,mawile,metagross,metang,metapod,mew,nosepass,omanyte,omastar,pawniard,pineco,pinsir,probopass,pupitar,quilladin,regirock,registeel,reuniclus,rhydon,rhyperior,riolu,salamence,scizor,scolipede,scrafty,scraggy,sewaddle,shelgon,shellder,shieldon,shuckle,silcoon,skarmory,slowbro,slowking,slugma,solosis,solrock,spewpa,squirtle,steelix,sudowoodo,swadloon,tirtouga,torkoal,torterra,tyranitar,tyrantrum,tyrunt,vanillish,vanillite,vanilluxe,venipede,vivillon,vullaby,wartortle,whirlipede,yamask"
mud-shot,55,95,ground,special,Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.,"accelgor,aipom,amaura,ambipom,anorith,arbok,armaldo,aurorus,azumarill,azurill,barbaracle,barboach,binacle,blastoise,bonsly,bouffalant,braixen,breloom,bunnelby,camerupt,carracosta,chesnaught,chespin,clauncher,clawitzer,cloyster,corphish,cradily,crawdaunt,croagunk,cubchoo,delphox,diggersby,diglett,donphan,dragalge,drilbur,dugtrio,dunsparce,ekans,excadrill,feebas,fennekin,flygon,froakie,frogadier,gabite,garchomp,gastrodon,geodude,gible,glaceon,gligar,gliscor,gogoat,goldeen,golduck,golem,goodra,goomy,graveler,greninja,grimer,grotle,groudon,grumpig,gulpin,hariyama,hippopotas,hippowdon,houndoom,houndour,kabuto,kabutops,kingler,krabby,krokorok,krookodile,larvitar,leafeon,lileep,linoone,lombre,ludicolo,magcargo,makuhita,mamoswine,marill,marshtomp,masquerain,mew,milotic,mudkip,muk,nidoking,nidoqueen,octillery,omanyte,omastar,pachirisu,palpitoad,phanpy,piloswine,politoed,poliwag,poliwhirl,poliwrath,pupitar,quagsire,quilladin,qwilfish,remoraid,rhydon,rhyhorn,rhyperior,sandile,sandshrew,sandslash,seaking,shellder,shellos,shelmet,shuckle,skiddo,skrelp,slaking,slakoth,sliggoo,slowbro,slowking,slowpoke,slugma,squirtle,stunfisk,sudowoodo,surskit,swalot,swampert,swinub,tentacool,tentacruel,tirtouga,torterra,toxicroak,trapinch,turtwig,tympole,tyranitar,vibrava,vigoroth,volcanion,wartortle,whiscash,wooper,zigzagoon"
water-pulse,60,100,water,special,Inflicts regular damage.  Has a 20% chance to confuse the target.,"abomasnow,absol,aggron,aipom,alomomola,amaura,ambipom,anorith,armaldo,aron,articuno,aurorus,avalugg,azelf,azumarill,azurill,barbaracle,barboach,bergmite,bibarel,binacle,blastoise,blissey,buizel,buneary,carracosta,carvanha,castform,celebi,chansey,chinchou,clamperl,clauncher,clawitzer,clefable,clefairy,cloyster,corphish,corsola,crawdaunt,croconaw,cryogonal,cubchoo,delcatty,delibird,dewgong,dewott,dragalge,dragonair,dragonite,dratini,ducklett,dunsparce,empoleon,exploud,feebas,feraligatr,finneon,floatzel,frillish,froakie,frogadier,furret,gastrodon,glaceon,glalie,glameow,goldeen,golduck,goodra,goomy,gorebyss,granbull,greninja,gulpin,gyarados,happiny,hippopotas,hippowdon,horsea,huntail,igglybuff,illumise,jellicent,jigglypuff,jirachi,jynx,kabuto,kabutops,kangaskhan,kecleon,kingdra,kingler,krabby,kyogre,lairon,lanturn,lapras,latias,latios,lickilicky,lickitung,linoone,lombre,lopunny,lotad,loudred,lucario,ludicolo,lugia,lumineon,luvdisc,mantine,mantyke,marill,marshtomp,masquerain,mesprit,mew,mewtwo,milotic,miltank,mudkip,munchlax,nidoking,nidoqueen,nidorino,noibat,noivern,octillery,omanyte,omastar,oshawott,palpitoad,panpour,pelipper,persian,piplup,politoed,poliwag,poliwhirl,poliwrath,prinplup,purugly,quagsire,qwilfish,rayquaza,remoraid,samurott,seadra,seaking,sealeo,seel,sentret,sharpedo,shellder,shellos,simipour,skrelp,slaking,slakoth,sliggoo,slowbro,slowking,slowpoke,smoochum,sneasel,snorlax,snorunt,snover,snubbull,spheal,spinda,spiritomb,squirtle,starmie,staryu,stunfisk,suicune,surskit,swalot,swampert,swanna,tauros,tentacool,tentacruel,tirtouga,togekiss,togepi,togetic,totodile,tympole,tyranitar,uxie,vanillish,vanillite,vanilluxe,vaporeon,vigoroth,volbeat,volcanion,wailmer,wailord,wartortle,weavile,whiscash,whismur,wigglytuff,wingull,wooper,zangoose,zigzagoon"
gyro-ball,,100,steel,physical,"Inflicts regular damage.  Power increases with the target's current Speed compared to the user, given by `1 + 25 * target Speed / user Speed`, capped at 150.","aromatisse,avalugg,baltoy,bergmite,blastoise,bronzong,bronzor,carbink,chesnaught,chespin,claydol,darumaka,diancie,donphan,doublade,drifblim,drifloon,dunsparce,duosion,electrode,emboar,ferroseed,forretress,geodude,glalie,golem,golett,golurk,graveler,hitmontop,honedge,jigglypuff,koffing,lickilicky,lunatone,magcargo,magnemite,magneton,magnezone,metagross,metang,mew,miltank,munna,musharna,omanyte,omastar,pignite,pineco,quilladin,qwilfish,rayquaza,reuniclus,sandshrew,sandslash,scolipede,shuckle,solosis,solrock,spritzee,squirtle,starmie,staryu,steelix,swoobat,tepig,torkoal,typhlosion,venipede,volcanion,voltorb,wartortle,weezing,whirlipede,wigglytuff,woobat"
brine,65,100,water,special,"Inflicts regular damage.  If the target has less than half its max HP remaining, this move has double power.","alomomola,anorith,armaldo,blastoise,buizel,carracosta,carvanha,chinchou,clamperl,cloyster,corsola,cradily,cubchoo,dewgong,ducklett,empoleon,feebas,finneon,floatzel,frillish,gastrodon,golduck,gorebyss,gyarados,hariyama,horsea,huntail,jellicent,kabuto,kabutops,kingdra,kingler,krabby,kyogre,lanturn,lapras,lileep,lugia,lumineon,luvdisc,mantine,mew,milotic,octillery,omanyte,omastar,oshawott,panpour,pelipper,piplup,prinplup,qwilfish,remoraid,seadra,sealeo,seel,sharpedo,shellder,shellos,slowbro,slowking,slowpoke,spheal,squirtle,starmie,staryu,suicune,swanna,tentacool,tentacruel,tirtouga,vaporeon,wailmer,wailord,wartortle,wingull"
aqua-ring,,,water,status,"Restores 1/16 of the user's max HP at the end of each turn.  If the user leaves the field, this effect ends.

This effect is passed on by baton pass.","alomomola,azumarill,blastoise,buizel,chinchou,clamperl,corsola,dewgong,ducklett,empoleon,finneon,goldeen,gorebyss,kyogre,lanturn,lumineon,luvdisc,mantine,mantyke,marill,milotic,palpitoad,panpour,piplup,prinplup,seaking,seel,shellder,spheal,squirtle,swanna,tentacool,tentacruel,tympole,vaporeon,wailmer,wartortle,wingull"
aura-sphere,80,,fighting,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,"blastoise,blaziken,celebi,clauncher,clawitzer,cobalion,gallade,gardevoir,hitmonchan,hitmonlee,infernape,jirachi,latias,latios,lopunny,lucario,medicham,mew,mewtwo,mienfoo,mienshao,raikou,riolu,squirtle,terrakion,togekiss,virizion,wartortle,zangoose"
aqua-tail,90,90,water,physical,Inflicts regular damage.,"aerodactyl,aggron,amaura,arbok,archen,archeops,armaldo,aurorus,axew,azumarill,barboach,bibarel,bidoof,blastoise,buizel,carracosta,cinccino,clauncher,clawitzer,croconaw,deino,dewgong,dewott,dragalge,dragonair,dragonite,drapion,dratini,druddigon,dunsparce,eelektrik,eelektross,ekans,feraligatr,finneon,floatzel,fraxure,furret,garchomp,glaceon,gligar,gliscor,goldeen,golduck,goodra,gorebyss,gyarados,haxorus,huntail,hydreigon,kabutops,kangaskhan,kecleon,krokorok,krookodile,kyogre,lanturn,lapras,lickilicky,lickitung,lugia,lumineon,mantine,marill,marshtomp,mew,mewtwo,milotic,minccino,mudkip,nidoking,nidoqueen,oshawott,panpour,patrat,quagsire,qwilfish,rayquaza,rhydon,rhyhorn,rhyperior,salamence,samurott,sandile,scolipede,seaking,sealeo,seel,sentret,serperior,seviper,simipour,skorupi,skrelp,slowbro,slowking,slowpoke,snivy,spheal,squirtle,steelix,stunfisk,swampert,tirtouga,totodile,tyranitar,vaporeon,wartortle,watchog,whiscash,wooper,zweilous"
zen-headbutt,80,90,psychic,physical,Inflicts regular damage.  Has a 20% chance to make the target flinch.,"abra,absol,alomomola,amaura,archen,archeops,audino,aurorus,azelf,bagon,baltoy,barboach,beheeyem,beldum,blastoise,blissey,bouffalant,braixen,braviary,breloom,bronzong,bronzor,cacturne,camerupt,carracosta,carvanha,celebi,chansey,chesnaught,chespin,chimchar,chimecho,chingling,claydol,clefable,clefairy,cobalion,cofagrigus,cranidos,crobat,cyndaquil,darumaka,deerling,deino,delcatty,delphox,drowzee,dunsparce,duosion,eelektross,elgyem,emboar,espeon,espurr,exeggcute,exeggutor,exploud,furfrou,furret,gallade,gardevoir,genesect,girafarig,gogoat,golbat,golduck,golurk,gothita,gothitelle,gothorita,grimer,grotle,groudon,grumpig,happiny,hariyama,hawlucha,ho-oh,hoothoot,hydreigon,hypno,illumise,infernape,jigglypuff,jirachi,jynx,kadabra,kirlia,kyurem,lapras,latias,latios,lickilicky,lickitung,lombre,lotad,loudred,lucario,ludicolo,lugia,lunatone,makuhita,medicham,meditite,mesprit,metagross,metang,mew,mewtwo,miltank,monferno,muk,munchlax,munna,musharna,ninetales,noctowl,pancham,pangoro,patrat,pignite,porygon,porygon-z,porygon2,quilava,quilladin,ralts,rampardos,raticate,rattata,reshiram,reuniclus,riolu,rufflet,salamence,sawk,sawsbuck,scrafty,scraggy,seviper,sharpedo,shelgon,shroomish,sigilyph,skiddo,slaking,slakoth,slowbro,slowking,slowpoke,smoochum,snorlax,solosis,solrock,spinda,spoink,squirtle,stantler,swalot,swoobat,tauros,tepig,terrakion,throh,tirtouga,togekiss,togepi,togetic,torkoal,torterra,tropius,turtwig,typhlosion,tyrantrum,tyrunt,uxie,venomoth,venonat,victini,vigoroth,virizion,volbeat,volcarona,vulpix,wailmer,wailord,wartortle,watchog,whiscash,whismur,wigglytuff,woobat,xatu,xerneas,yamask,yveltal,zangoose,zekrom,zubat,zweilous"
aqua-jet,40,100,water,physical,Inflicts regular damage.,"alomomola,anorith,azurill,bibarel,blastoise,buizel,carracosta,carvanha,clauncher,clawitzer,corphish,crawdaunt,croconaw,dewgong,dewott,dragonite,dratini,ducklett,empoleon,feraligatr,floatzel,golduck,kabuto,kabutops,luvdisc,marill,masquerain,oshawott,qwilfish,samurott,seel,sharpedo,squirtle,surskit,swanna,tirtouga,totodile,wartortle"
scald,80,100,water,special,Inflicts regular damage.  Has a 30% chance to burn the target.,"alomomola,azumarill,azurill,barbaracle,barboach,bibarel,binacle,blastoise,buizel,carracosta,carvanha,castform,chinchou,clamperl,clauncher,clawitzer,corphish,corsola,crawdaunt,croconaw,dewott,dragalge,ducklett,emboar,empoleon,feebas,feraligatr,finneon,floatzel,frillish,froakie,frogadier,gastrodon,goldeen,golduck,goodra,gorebyss,greninja,gyarados,horsea,huntail,jellicent,kabuto,kabutops,kingdra,kingler,krabby,kyogre,lanturn,lombre,lotad,ludicolo,lumineon,luvdisc,mantine,mantyke,marill,marshtomp,masquerain,mew,milotic,mudkip,octillery,omanyte,omastar,oshawott,palpitoad,panpour,pelipper,piplup,politoed,poliwag,poliwhirl,poliwrath,prinplup,quagsire,qwilfish,raikou,remoraid,samurott,seadra,seaking,sharpedo,shellos,simipour,skrelp,slowbro,slowking,slowpoke,squirtle,starmie,staryu,stunfisk,suicune,surskit,swampert,swanna,tentacool,tentacruel,tirtouga,totodile,tympole,vaporeon,volcanion,wailmer,wailord,wartortle,whiscash,wingull,wooper"
shell-smash,,,normal,status,"Raises the user's Attack, Special Attack, and Speed by two stages each.  Lowers the user's Defense and Special Defense by one stage each.","barbaracle,binacle,blastoise,carracosta,clamperl,cloyster,crustle,dwebble,gorebyss,grotle,huntail,magcargo,omanyte,omastar,shellder,shuckle,squirtle,tirtouga,torkoal,torterra,turtwig,wartortle"
water-pledge,80,100,water,special,"Inflicts regular damage.  If a friendly Pokémon used grass pledge earlier this turn, all opposing Pokémon have halved Speed for four turns (including this one).","blastoise,croconaw,dewott,empoleon,feraligatr,froakie,frogadier,greninja,marshtomp,mew,mudkip,oshawott,panpour,piplup,prinplup,samurott,simipour,squirtle,swampert,totodile,wartortle"
liquidation,85,100,water,physical,Inflicts regular damage.  Has a 20% chance to lower the target's Defense by one stage.,"alomomola,armaldo,azumarill,barbaracle,barboach,bibarel,binacle,blastoise,buizel,carracosta,carvanha,chinchou,clauncher,clawitzer,cloyster,corphish,corsola,crawdaunt,croconaw,cubchoo,dewgong,dewott,dragalge,ducklett,eelektross,empoleon,feraligatr,floatzel,froakie,frogadier,garchomp,gastrodon,golduck,greninja,horsea,inkay,kabuto,kabutops,kingdra,kingler,krabby,kyogre,lanturn,lapras,latias,latios,lugia,luvdisc,malamar,mantine,marill,marshtomp,masquerain,mew,mudkip,octillery,omastar,oshawott,pelipper,piplup,politoed,poliwag,poliwhirl,poliwrath,prinplup,quagsire,qwilfish,samurott,seadra,sealeo,sharpedo,shellder,shellos,skrelp,slowbro,slowking,slowpoke,spheal,squirtle,suicune,surskit,swampert,swanna,tentacool,tentacruel,tirtouga,totodile,vaporeon,volcanion,wailord,wartortle,whiscash,wingull,wooper"
life-dew,,,water,status,,"audino,blastoise,blissey,budew,celebi,chansey,clefable,clefairy,corsola,gallade,gardevoir,goomy,ho-oh,jirachi,kirlia,lapras,lucario,mew,mewtwo,milotic,ralts,roselia,shellder,squirtle,togekiss,togepi,togetic,wartortle"
flip-turn,60,100,water,physical,Inflicts regular damage.,"alomomola,blastoise,buizel,carvanha,chinchou,clauncher,clawitzer,croconaw,dewgong,dewott,dragalge,empoleon,feraligatr,finneon,floatzel,goldeen,golduck,horsea,kabutops,kingdra,lanturn,latios,lumineon,luvdisc,mew,milotic,oshawott,piplup,prinplup,qwilfish,samurott,seadra,seaking,seel,sharpedo,skrelp,squirtle,starmie,staryu,swampert,swanna,tentacool,tentacruel,totodile,vaporeon,wartortle"
wave-crash,120,100,water,physical,,"blastoise,buizel,empoleon,floatzel,kingdra,squirtle,wartortle"
ice-spinner,80,100,ice,physical,,"abomasnow,articuno,avalugg,azumarill,bergmite,blastoise,bronzong,bronzor,buizel,cinccino,cloyster,cryogonal,delibird,dewgong,donphan,dragonite,dunsparce,empoleon,floatzel,forretress,glalie,hitmontop,jigglypuff,ludicolo,marill,mew,mienshao,pineco,piplup,prinplup,regice,registeel,seel,shellder,snorunt,snover,squirtle,wartortle,weavile,wigglytuff"
chilling-water,50,100,water,special,,"abomasnow,aipom,alomomola,ambipom,avalugg,azumarill,barboach,bergmite,blastoise,blissey,buizel,chansey,chinchou,cinccino,clauncher,clawitzer,clefable,clefairy,cloyster,corphish,crawdaunt,croagunk,croconaw,cryogonal,cubchoo,delibird,dewgong,dewott,dragalge,dragonair,dragonite,dratini,ducklett,dunsparce,empoleon,feebas,feraligatr,finneon,floatzel,floette,florges,froakie,frogadier,furret,gastrodon,glaceon,glalie,golduck,goodra,goomy,greninja,grumpig,gyarados,hariyama,honchkrow,horsea,jigglypuff,kingdra,kyogre,lanturn,lapras,latias,latios,lombre,lotad,ludicolo,lugia,lumineon,makuhita,marill,marshtomp,masquerain,mew,mewtwo,milotic,minccino,mudkip,munchlax,nuzleaf,oshawott,pelipper,persian,piplup,politoed,poliwag,poliwhirl,poliwrath,prinplup,quagsire,qwilfish,samurott,seadra,seel,sentret,shellder,shellos,shiftry,skrelp,slaking,slakoth,sliggoo,slowbro,slowking,slowpoke,snorlax,snorunt,snover,spoink,squirtle,suicune,surskit,swampert,swanna,tentacool,tentacruel,totodile,toxicroak,vaporeon,vigoroth,volbeat,wartortle,weavile,whiscash,wigglytuff,wingull,wooper"
hydro-cannon,150,90,water,special,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.","blastoise,empoleon,feraligatr,greninja,mew,samurott,swampert"
signal-beam,75,100,bug,special,Inflicts regular damage.  Has a 10% chance to confuse the target.,"abra,accelgor,ampharos,ariados,articuno,audino,azelf,baltoy,beautifly,beheeyem,blastoise,bronzong,bronzor,butterfree,celebi,chimecho,chinchou,chingling,claydol,clefable,clefairy,cloyster,cryogonal,dedenne,delibird,delphox,dewgong,drowzee,duosion,dustox,eelektrik,eelektross,electabuzz,electivire,electrike,electrode,elekid,elgyem,emolga,empoleon,escavalier,espeon,espurr,finneon,flaaffy,flygon,forretress,gallade,galvantula,gardevoir,genesect,girafarig,glaceon,glalie,goldeen,golduck,golett,golurk,gorebyss,gothita,gothitelle,gothorita,grumpig,heliolisk,helioptile,ho-oh,horsea,hydreigon,hypno,jirachi,jolteon,joltik,jynx,kadabra,karrablast,kingdra,kirlia,klang,klink,klinklang,kyogre,kyurem,lanturn,lapras,leavanny,lugia,lumineon,lunatone,luxio,luxray,magnemite,magneton,magnezone,malamar,manectric,mantine,mantyke,mareep,masquerain,medicham,meditite,mesprit,metagross,metang,mew,mewtwo,mothim,munna,musharna,octillery,pichu,pikachu,piplup,plusle,porygon,porygon-z,porygon2,prinplup,qwilfish,raichu,raikou,ralts,regice,remoraid,reuniclus,rotom,scolipede,seadra,seaking,sealeo,seel,sewaddle,shelmet,shinx,sigilyph,slowbro,slowking,slowpoke,smoochum,solosis,solrock,spheal,spinarak,spoink,stantler,starmie,staryu,suicune,surskit,swadloon,swoobat,togekiss,togepi,togetic,trapinch,uxie,vanillish,vanillite,vanilluxe,vaporeon,venipede,venomoth,venonat,vespiquen,vibrava,victini,vivillon,volbeat,volcarona,voltorb,watchog,whirlipede,woobat,xatu,yanma,yanmega,zapdos,zebstrika,zekrom"
dark-pulse,80,100,dark,special,Inflicts regular damage.  Has a 20% chance to make the target flinch.,"absol,aggron,amaura,arbok,aurorus,banette,beheeyem,bisharp,blastoise,cacnea,cacturne,carvanha,chandelure,clauncher,clawitzer,cofagrigus,crawdaunt,croagunk,crobat,darkrai,deino,drapion,druddigon,dusclops,dusknoir,duskull,ekans,elgyem,espurr,frillish,frogadier,furfrou,garbodor,gastly,genesect,gengar,glalie,gligar,gliscor,gothita,gothitelle,gothorita,greninja,gyarados,haunter,heliolisk,helioptile,honchkrow,houndoom,houndour,hydreigon,inkay,jellicent,jigglypuff,koffing,krokorok,krookodile,lampent,larvitar,liepard,litleo,litwick,lucario,malamar,mandibuzz,mawile,mew,mewtwo,mightyena,misdreavus,mismagius,muk,murkrow,ninetales,noibat,noivern,nuzleaf,pancham,pangoro,pawniard,persian,phantump,poochyena,porygon-z,pupitar,purrloin,pyroar,rotom,samurott,sandile,scrafty,scraggy,seviper,sharpedo,shiftry,shuppet,sigilyph,skarmory,skorupi,sneasel,spiritomb,steelix,stunky,toxicroak,trevenant,trubbish,tyranitar,tyrantrum,tyrunt,umbreon,vullaby,vulpix,weavile,weezing,wigglytuff,yamask,yveltal,zoroark,zorua,zweilous"
avalanche,60,100,ice,physical,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user.","abomasnow,aggron,amaura,articuno,aurorus,avalugg,bastiodon,bergmite,blastoise,blissey,castform,cloyster,crawdaunt,cryogonal,cubchoo,delibird,dewgong,dewott,empoleon,exploud,feraligatr,glaceon,glalie,gyarados,jynx,kangaskhan,kyogre,kyurem,lapras,lugia,mamoswine,marshtomp,mew,mewtwo,milotic,mudkip,nidoking,nidoqueen,oshawott,piloswine,quagsire,rampardos,rayquaza,regice,rhydon,rhyperior,samurott,seel,sharpedo,shellder,slowbro,slowking,slowpoke,smoochum,sneasel,snorunt,snover,starmie,suicune,swampert,swinub,teddiursa,tyranitar,ursaring,vanillish,vanillite,vanilluxe,wailmer,wailord,weavile,wooper"
